Film;Oscar;rok;Id;budget;opening_weekend;gross;czas;rating;komentarze;zewnetrzne_zapowiedzi;oscar_actor;gatunek
Room at the Top;0;1959;tt0053226;280000;NA;2400000;117;7,7;38;21;0;Drama
The Apartment;1;1960;tt0053604;3000000;NA;18600000;125;8,3;249;181;0;Comedy
The Alamo;0;1960;tt0053580;12000000;NA;7910000;167;6,9;116;39;0;Adventure
Elmer Gantry;0;1960;tt0053793;3000000;NA;11336000;146;7,9;81;41;0;Drama
Sons and Lovers;0;1960;tt0054326;500000;NA;NA;103;7,3;13;16;1;Drama
The Sundowners;0;1960;tt0054353;NA;NA;NA;133;7,3;36;19;0;Drama
West Side Story;1;1961;tt0055614;6000000;NA;43650000;152;7,6;319;120;0;Crime
Fanny;0;1961;tt0054866;NA;NA;NA;134;7,1;44;8;0;Drama
The Guns of Navarone;0;1961;tt0054953;6000000;NA;28900000;158;7,6;135;51;2;Action
The Hustler;0;1961;tt0054997;2000000;NA;NA;134;8;170;99;0;Drama
Judgment at Nuremberg;0;1961;tt0055031;3000000;NA;6000000;186;8,3;179;73;2;Drama
Lawrence of Arabia;1;1962;tt0056172;15000000;32930;6000000;216;8,3;562;180;2;Adventure
The Longest Day;0;1962;tt0056197;10000000;NA;39100000;178;7,8;195;51;0;Action
The Music Man;0;1962;tt0056262;NA;NA;14953846;151;7,7;127;29;1;Comedy
Mutiny on the Bounty;0;1962;tt0056264;19000000;NA;13680000;178;7,2;86;34;1;Adventure
To Kill a Mockingbird;0;1962;tt0056592;2000000;NA;13129846;129;8,3;483;129;0;Crime
Tom Jones;1;1963;tt0057590;1000000;NA;37600000;128;6,7;60;30;0;Adventure
America America;0;1963;tt0056825;NA;NA;NA;174;7,9;24;24;0;Drama
Cleopatra;0;1963;tt0056937;31115000;NA;57750000;192;7;198;72;1;Biography
How the West Was Won;0;1963;tt0056085;15000000;NA;12150000;164;7,1;144;33;1;Western
Lilies of the Field;0;1963;tt0057251;240000;NA;NA;94;7,7;77;23;0;Drama
My Fair Lady;1;1964;tt0058385;17000000;NA;72000000;170;7,9;262;78;1;Drama
Becket;0;1964;tt0057877;3000000;NA;9164370;148;8;98;49;0;Biography
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;0;1964;tt0057012;1800000;11751;9440272;95;8,5;853;194;0;Comedy
Mary Poppins;0;1964;tt0058331;6000000;NA;102300000;139;7,8;260;144;0;Comedy
Zorba the Greek;0;1964;tt0057831;783000;NA;9000000;142;7,8;71;28;1;Comedy
The Sound of Music;1;1965;tt0059742;8200000;NA;163214286;174;8;407;120;1;Biography
Darling;0;1965;tt0059084;400000;NA;12000000;128;7,2;53;50;0;Drama
Doctor Zhivago;0;1965;tt0059113;11000000;NA;111722000;197;8;258;87;0;Drama
Ship of Fools;0;1965;tt0059712;NA;NA;NA;149;7,2;64;24;2;Drama
A Thousand Clowns;0;1965;tt0059798;NA;NA;NA;118;7,6;65;24;0;Comedy
A Man for All Seasons;1;1966;tt0060665;2000000;NA;28350000;120;7,9;170;61;1;Biography
Alfie;0;1966;tt0060086;800000;NA;18871300;114;7,1;73;48;1;Comedy
The Russians Are Coming, the Russians Are Coming;0;1966;tt0060921;NA;NA;21693114;126;7,1;68;29;1;Comedy
The Sand Pebbles;0;1966;tt0060934;12000000;NA;30017647;182;7,7;102;29;0;Adventure
Who's Afraid of Virginia Woolf?;0;1966;tt0061184;7500000;NA;28000000;131;8,1;231;78;1;Drama
In the Heat of the Night;1;1967;tt0061811;2000000;NA;24379978;109;8;171;83;1;Crime
Bonnie and Clyde;0;1967;tt0061418;2500000;NA;50700000;111;7,9;362;143;0;Action
Doctor Dolittle;0;1967;tt0061584;17000000;NA;9000000;152;6,2;42;14;1;Adventure
The Graduate;0;1967;tt0061722;3000000;873;104397102;106;8;681;164;1;Comedy
Guess Who's Coming to Dinner;0;1967;tt0061735;4000000;NA;56700000;108;7,8;341;58;3;Comedy
Oliver!;1;1968;tt0063385;10000000;NA;16800000;153;7,5;143;56;0;Drama
Funny Girl;0;1968;tt0062994;14100000;65560;223306;151;7,5;81;50;0;Biography
The Lion in Winter;0;1968;tt0063227;NA;5339;13995;134;8,1;174;40;1;Biography
Rachel, Rachel;0;1968;tt0063483;700000;NA;NA;101;7,5;37;21;1;Drama
Romeo and Juliet;0;1968;tt0063518;NA;NA;42000000;138;7,7;196;29;0;Drama
Midnight Cowboy;1;1969;tt0064665;3600000;NA;44785053;113;7,9;336;90;0;Drama
Anne of the Thousand Days;0;1969;tt0064030;NA;NA;NA;145;7,6;68;21;0;Drama
Butch Cassidy and the Sundance Kid;0;1969;tt0064115;6000000;NA;102308900;110;8,1;318;128;0;Biography
Hello, Dolly!;0;1969;tt0064418;25000000;NA;9000000;146;7,2;111;26;2;Adventure
Patton;1;1970;tt0066206;12000000;NA;61700000;172;8;267;110;1;Biography
Airport;0;1970;tt0065377;10000000;NA;100489150;137;6,6;162;57;2;Action
Five Easy Pieces;0;1970;tt0065724;1600000;NA;18099091;98;7,5;193;89;0;Drama
Love Story;0;1970;tt0066011;2200000;NA;106400000;99;6,9;156;43;0;Drama
M*A*S*H;0;1970;tt0068098;NA;NA;NA;25;8,4;149;49;0;Comedy
The French Connection;1;1971;tt0067116;1800000;NA;51700000;104;7,8;284;138;0;Action
A Clockwork Orange;0;1971;tt0066921;2200000;618615;26589355;136;8,3;1349;218;0;Crime
Fiddler on the Roof;0;1971;tt0067093;9000000;NA;50000000;181;8;151;64;0;Drama
The Last Picture Show;0;1971;tt0067328;1300000;NA;29133000;118;8,1;169;85;0;Drama
Nicholas and Alexandra;0;1971;tt0067483;9000000;NA;NA;183;7,3;55;21;0;Biography
The Godfather;1;1972;tt0068646;6000000;223758;134821952;175;9,2;2315;214;1;Crime
Cabaret;0;1972;tt0068327;6000000;NA;42765000;124;7,9;185;85;0;Drama
Deliverance;0;1972;tt0068473;2000000;NA;46122355;109;7,7;355;122;0;Adventure
The Emigrants;0;1972;tt0067919;NA;NA;NA;191;8;9;22;0;Drama
Sounder;0;1972;tt0069303;NA;NA;NA;105;7,7;26;18;0;Drama
The Sting;1;1973;tt0070735;5500000;NA;159600000;129;8,3;257;121;0;Comedy
American Graffiti;0;1973;tt0069704;777000;NA;115000000;110;7,5;238;100;0;Comedy
The Exorcist;0;1973;tt0070047;12000000;151714;204565000;122;8;1071;267;0;Horror
A Touch of Class;0;1973;tt0070819;NA;NA;18312000;106;6,5;36;13;1;Comedy
The Godfather Part II;1;1974;tt0071562;13000000;244000;57300000;202;9;661;150;0;Crime
Chinatown;0;1974;tt0071315;6000000;NA;29000000;130;8,2;461;224;0;Drama
The Conversation;0;1974;tt0071360;1600000;NA;4420000;113;7,9;318;150;1;Drama
Lenny;0;1974;tt0071746;NA;NA;NA;111;7,6;61;57;0;Biography
The Towering Inferno;0;1974;tt0072308;14000000;NA;116000000;165;6,9;199;94;1;Action
One Flew Over the Cuckoo's Nest;1;1975;tt0073486;4400000;99761;112000000;133;8,7;767;150;0;Drama
Barry Lyndon;0;1975;tt0072684;11000000;NA;20000000;184;8,1;375;127;0;Adventure
Dog Day Afternoon;0;1975;tt0072890;1800000;NA;50000000;125;8;259;111;0;Action
Jaws;0;1975;tt0073195;8000000;7061513;260000000;124;8;974;375;0;Adventure
Nashville;0;1975;tt0073440;2200000;NA;9984123;159;7,8;154;102;0;Comedy
Rocky;1;1976;tt0075148;960000;5000000;117235247;120;8,1;549;143;0;Drama
